text,tokenized_text,predicted_age_group
今日は仕事が忙しかったけど、友達と飲みに行った,今日 は 仕事 が 忙 しかったけど 、 友達 と 飲 みに 行 った,senior
大学の授業が楽しかった,大学 の    が 楽 しかった,teen
孫と公園で遊んだ,孫 と 公園 で   んだ,senior
大学の授業が面白い,大学 の    が   白 い,teen
大阪の美味しいお酒を教えてください。,大阪 の 美味 しいお 酒 を 教 えてください 。,teen
"4月から高校1年生になる女子です。
2022年から、成人年齢が20歳から18歳に引き下げられる ということは、""未成年者は保護者の同伴が必要""と記載してあるオーディションは18歳（高校3年生）で1人で行っても良い ということですか？","4 月 から   校 1 年生 になる 女子 です 。 2022 年 から 、 成人 年齢 が 20 歳 から 18 歳 に 引 き 下 げられる ということは 、"" 未成 年者 は    者 の    が 必要 "" と 記載 してある オーディション は 18 歳 （   校 3 年生 ） で 1 人 で 行 っても 良 い ということですか ？",teen
"私の友達の話なんですけど私と友達で歩いてたら友達は色んな人に可愛いーとか言われるのに対してわたしは言われません。
けどそれは事実なのであんまり気にはならないのでいいのですがその友達がいつもLINEで可愛くない病みそうBADとか言ってるのを見ると私は全然気にしてなかったのに可愛いって言われてる人がぶすとか自分で言ってるのを見ると自分が底辺なのではないかと感じて苦痛です。いつも可愛いじゃんとか言ってるのに違うんだよと言い始めます。どうしたら苦痛を感じないですみますか",私 の 友達 の 話 なんですけど 私 と 友達 で 歩 いてたら 友達 は 色 んな 人 に 可愛 い ー とか 言 われるのに   してわたしは 言 われません 。 けどそれは 事実 なのであんまり 気 にはならないのでいいのですがその 友達 がいつも LINE で 可愛 くない 病 みそう BAD とか 言 ってるのを 見 ると 私 は 全然 気 にしてなかったのに 可愛 いって 言 われてる 人 がぶすとか 自分 で 言 ってるのを 見 ると 自分 が 底辺 なのではないかと 感 じて 苦痛 です 。 いつも 可愛 いじゃんとか 言 ってるのに   うんだよと 言 い 始 めます 。 どうしたら 苦痛 を 感 じないですみますか,teen
"結婚を考えてる割には曖昧な彼女
25卒の大学生男子です。
付き合っている彼女が結婚を考えて付き合ってると言ってきますが、彼女が浅はかなのか、僕の考えがきつすぎるのか質問させていただきたいです。
僕には付き合って2ヶ月の彼女がいます。彼女は同い年ですが、保育士として既に働いています。
一方、僕は現在大学4年で、就職活動で7社から内定をいただいています。全て上場している企業で、全国転勤ありの業界最大手の企業もあります。
しかし、まだどの企業に入社するのか決めかねています。

彼女に企業を決めかねていると話をすると、彼女は「近くにいてほしい」等勤務地の話のみをします。もちろんその気持ちは分かりますが、やはり経済面となると転勤を伴う大手企業が高いのが事実です。

しかし、彼女は「近くにいてほしい」と言う割に専業主婦を志望していたりと、少し現実離れしている気がします。具体的にどのくらいの年収が必要かの話をしても、そもそも日本人の平均年収すら知らないレベルなので、転勤なし年収750万と転勤あり900万の違いも大して理解していません。今後の景気などを考慮すると、若い間は特に僕だけの給料で養うのは正直難しいと思います。

このように、彼女は結婚願望はかなり強いものの、どこか考えが浅はかな気がします。勤務地の話をするなら、「私も一緒に頑張って働く」などの一言があっても良いのでは？と思ってしまいます。

彼女が浅はかなのでしょうか？それとも僕が考えすぎてますか？ 彼女を傷つけるつもりはないので、少し意見をいただきたいです。
よろしくお願い致します。",結婚 を 考 えてる   には 曖昧 な 彼女 25 卒 の 大学 生男 子 です 。 付 き    ている 彼女 が 結婚 を 考 えて 付 き    てると 言 ってきますが 、 彼女 が 浅 はかなのか 、 僕 の 考 えがきつすぎるのか 質問 させていただきたいです 。 僕 には 付 き    て 2 ヶ 月 の 彼女 がいます 。 彼女 は    年 ですが 、      として 既 に 働 いています 。 一方 、 僕 は 現在 大学 4 年 で 、 就職 活動 で 7 社 から 内定 をいただいています 。 全 て 上場 している   業 で 、 全国 転勤 ありの 業界 最大 手 の   業 もあります 。 しかし 、 まだどの   業 に 入社 するのか 決 めかねています 。 彼女 に   業 を 決 めかねていると 話 をすると 、 彼女 は 「 近 くにいてほしい 」 等勤 務地 の 話 のみをします 。 もちろんその 気持 ちは   かりますが 、 やはり 経済   となると 転勤 を   う 大手   業 が   いのが 事実 です 。 しかし 、 彼女 は 「 近 くにいてほしい 」 と 言 う   に 専業 主婦 を 志望 していたりと 、 少 し 現実 離 れしている 気 がします 。 具体 的 にどのくらいの 年収 が 必要 かの 話 をしても 、 そもそも 日本 人 の 平均 年収 すら 知 らない レベル なので 、 転勤 なし 年収 750 万 と 転勤 あり 900 万 の   いも 大 して 理解 していません 。 今後 の 景気 などを 考慮 すると 、 若 い    特 に 僕 だけの 給料 で   うのは 正直 難 しいと 思 います 。 このように 、 彼女 は 結婚   望 はかなり 強 いものの 、 どこか 考 えが 浅 はかな 気 がします 。 勤務   の 話 をするなら 、「 私 も 一緒 に    って 働 く 」 などの 一言 があっても 良 いのでは ？ と 思 ってしまいます 。 彼女 が 浅 はかなのでしょうか ？ それとも 僕 が 考 えすぎてますか ？ 彼女 を   つけるつもりはないので 、 少 し 意見 をいただきたいです 。 よろしくお   い 致 します 。,teen
"認知の親が、すぐ出ていくとか気を遣うとか死ぬとか言います。
母が深夜に起きて、歯磨きとかしにいきます。
洗面所は遠く、普段寝たきりの介護度4で全く歩けないのに、ふと元気になって動くことがあり、私が寝てなかったら気付いて母のとこに行きます。

気付いてないときは、家族の歯ブラシやタオルを触った形跡があり、、。

母の横で監視するのですが、
あんた監視してるんか！娘の家なのに自由に何もデキないね！もうでていくわ！気を遣って迷惑かけたくない！

と言います。
親族の家に行くというのですが、みんな亡くなっていないです。

いないことを教えると、だったら川にハマって死ぬ、という…
そのあと泣いたり、鬱みたいになったり、、


同じ感じですか？",認知 の 親 が 、 すぐ 出 ていくとか 気 を   うとか 死 ぬとか 言 います 。    深夜 に 起 きて 、 歯磨 きとかしにいきます 。 洗面 所 は   く 、 普段    きりの 介護 度 4 で 全 く 歩 けないのに 、 ふと 元気 になって 動 くことがあり 、 私 が    なかったら 気付 いて    とこに 行 きます 。 気付 いてないときは 、 家族 の 歯 ブラシ や タオル を 触 った 形跡 があり 、、。      で 監視 するのですが 、 あんた 監視 してるんか ！ 娘 の 家 なのに 自由 に 何 も デキ ないね ！ もうでていくわ ！ 気 を   って 迷惑 かけたくない ！ と 言 います 。 親族 の 家 に 行 くというのですが 、 みんな 亡 くなっていないです 。 いないことを 教 えると 、 だったら 川 に ハマ って 死 ぬ 、 という … そのあと   いたり 、 鬱 みたいになったり 、、    感 じですか ？,adult
"愚痴をダラダラと。

絶賛反抗期中高校生との旅、回避した方が良いと思いますか？
祖父母訪問や法事などではない、家族旅行をコロナ以来に計画しました。が、うちの高校生は一度機嫌を損ねると、かなり激しい反抗期中です。

今まで、家族の誰かの誕生日会、父の日母の日の外食、ちょっとしたお出かけの約束、購入済みの映画など、この数年間に幾度となくドタキャンされています。映画なんて映画直前でプイっです。

日頃は家族仲は良い方で、楽しい時間がほとんどなのですが、どこに爆弾を抱えているかこちらには全くわからないため、不意にドカンと落とされます。一昨日久しぶりに大きく爆発し、未だに関係回復されていません。そして出発は1週間後です。

自宅近くに親戚はおらず、一人っ子。空港でドカンとされたら、置いていくわけにも行かないため、旅はキャンセルもできず高額出品が流れます。前日までなら無料キャンセル、当日はキャンセルできません。

もう高校生ですし、子供が1週間1人で暮らせることはできますが、まだ未成年のため、親としての責任を感じるのでそうなったら旅は我慢します。親だけで行ってしまったら、やはり良い親子関係は回収できないような気もするし、悩みます。

本人、旅自体はものすごく楽しみにしていたんですけれど…色々リスクが高すぎる…

書いててやはり、今状況改善できても、またいつ爆破されるかわからないから、今のうちにキャンセルだ。

キャンセルしたらしたで、暴れるんだろけど、お金は戻ってくるし。

無しで間違い無いですよね？","愚痴 を ダラダラ と 。   絶賛 反抗 期中   校生 との 旅 、     した 方 が 良 いと 思 いますか ？ 祖父    問 や    などではない 、 家族 旅行 を コロナ 以来 に 計画 しました 。 が 、 うちの   校生 は 一度機嫌 を 損 ねると 、 かなり 激 しい 反抗 期中 です 。   今 まで 、 家族 の 誰 かの 誕生 日会 、   の 日母 の 日 の 外食 、 ちょっとしたお 出 かけの 約束 、 購 入済 みの   画 など 、 この 数年    幾度 となく ドタキャン されています 。   画 なんて   画直    プイ っです 。   日頃 は 家族 仲 は 良 い 方 で 、 楽 しい 時間 がほとんどなのですが 、 どこに   弾 を 抱 えているかこちらには 全 くわからないため 、 不意 に ドカン と 落 とされます 。 一昨日久 しぶりに 大 きく   発 し 、 未 だに       復 されていません 。 そして 出発 は 1 週間 後 です 。   自宅 近 くに 親戚 はおらず 、 一人 っ 子 。 空港 で ドカン とされたら 、 置 いていくわけにも 行 かないため 、 旅 は キャンセル もできず        が 流 れます 。    までなら 無料 キャンセル 、 当日 は キャンセル できません 。   もう   校生 ですし 、 子供 が 1 週間 1 人 で 暮 らせることはできますが 、 まだ 未成 年 のため 、 親 としての 責任 を 感 じるのでそうなったら 旅 は 我慢 します 。 親 だけで 行 ってしまったら 、 やはり 良 い 親子     は   収 できないような 気 もするし 、 悩 みます 。   本人 、 旅自 体 はものすごく 楽 しみにしていたんですけれど … 色 々 リスク が   すぎる …   書 いててやはり 、 今状   改善 できても 、 またいつ   破 されるかわからないから 、 今 のうちに キャンセル だ 。   キャンセル したらしたで 、 暴 れるんだろけど 、 お 金 は 戻 ってくるし 。   無 しで     い 無 いですよね ？",teen
